"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 18:14:04 GMT 2023","Tue Apr 11 18:14:05 GMT 2023","1192","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Tue Apr 11 18:14:58 GMT 2023","Tue Apr 11 18:15:04 GMT 2023","6289","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Tue Apr 11 18:14:14 GMT 2023","Tue Apr 11 18:14:21 GMT 2023","6285","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Tue Apr 11 18:14:52 GMT 2023","Tue Apr 11 18:14:56 GMT 2023","4273","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Tue Apr 11 18:14:45 GMT 2023","Tue Apr 11 18:14:50 GMT 2023","5312","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"broken","Tue Apr 11 18:14:22 GMT 2023","Tue Apr 11 18:14:28 GMT 2023","6284","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"broken","Tue Apr 11 18:14:07 GMT 2023","Tue Apr 11 18:14:13 GMT 2023","6300","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"broken","Tue Apr 11 18:14:30 GMT 2023","Tue Apr 11 18:14:36 GMT 2023","6283","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Tue Apr 11 18:14:38 GMT 2023","Tue Apr 11 18:14:44 GMT 2023","6280","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 11 18:15:05 GMT 2023","Tue Apr 11 18:15:12 GMT 2023","6280","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Tue Apr 11 18:14:00 GMT 2023","Tue Apr 11 18:14:03 GMT 2023","2078","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Tue Apr 11 18:13:49 GMT 2023","Tue Apr 11 18:13:55 GMT 2023","5132","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Tue Apr 11 18:13:56 GMT 2023","Tue Apr 11 18:13:59 GMT 2023","3182","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
