"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 16:56:08 GMT 2023","Tue Apr 11 16:56:13 GMT 2023","5358","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Tue Apr 11 16:55:19 GMT 2023","Tue Apr 11 16:55:22 GMT 2023","3202","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Tue Apr 11 16:55:52 GMT 2023","Tue Apr 11 16:55:59 GMT 2023","6326","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"broken","Tue Apr 11 16:56:20 GMT 2023","Tue Apr 11 16:56:26 GMT 2023","6305","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Tue Apr 11 16:55:15 GMT 2023","Tue Apr 11 16:55:18 GMT 2023","2086","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"broken","Tue Apr 11 16:55:24 GMT 2023","Tue Apr 11 16:55:26 GMT 2023","2078","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Tue Apr 11 16:55:27 GMT 2023","Tue Apr 11 16:55:28 GMT 2023","1200","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Tue Apr 11 16:56:14 GMT 2023","Tue Apr 11 16:56:19 GMT 2023","4316","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Tue Apr 11 16:55:45 GMT 2023","Tue Apr 11 16:55:51 GMT 2023","6299","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"broken","Tue Apr 11 16:55:30 GMT 2023","Tue Apr 11 16:55:36 GMT 2023","6331","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Tue Apr 11 16:55:37 GMT 2023","Tue Apr 11 16:55:43 GMT 2023","6295","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Tue Apr 11 16:56:00 GMT 2023","Tue Apr 11 16:56:06 GMT 2023","6299","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 11 16:56:28 GMT 2023","Tue Apr 11 16:56:34 GMT 2023","6293","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
