"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 22:56:03 GMT 2023","Tue Apr 11 22:56:05 GMT 2023","2072","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Tue Apr 11 22:55:18 GMT 2023","Tue Apr 11 22:55:27 GMT 2023","8270","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 11 22:55:09 GMT 2023","Tue Apr 11 22:55:17 GMT 2023","8296","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Tue Apr 11 22:54:38 GMT 2023","Tue Apr 11 22:54:39 GMT 2023","1159","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Tue Apr 11 22:55:44 GMT 2023","Tue Apr 11 22:55:52 GMT 2023","8262","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Tue Apr 11 22:55:36 GMT 2023","Tue Apr 11 22:55:43 GMT 2023","6260","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"passed","Tue Apr 11 22:54:27 GMT 2023","Tue Apr 11 22:54:32 GMT 2023","5295","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"broken","Tue Apr 11 22:54:50 GMT 2023","Tue Apr 11 22:54:58 GMT 2023","8274","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Tue Apr 11 22:54:33 GMT 2023","Tue Apr 11 22:54:36 GMT 2023","3214","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Tue Apr 11 22:55:53 GMT 2023","Tue Apr 11 22:56:01 GMT 2023","8259","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Tue Apr 11 22:54:59 GMT 2023","Tue Apr 11 22:55:08 GMT 2023","8261","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"broken","Tue Apr 11 22:55:28 GMT 2023","Tue Apr 11 22:55:35 GMT 2023","7294","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"broken","Tue Apr 11 22:54:40 GMT 2023","Tue Apr 11 22:54:48 GMT 2023","8492","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
