"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:43:19 GMT 2023","Wed Apr 12 10:43:25 GMT 2023","6240","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"broken","Wed Apr 12 10:43:26 GMT 2023","Wed Apr 12 10:43:35 GMT 2023","8246","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Wed Apr 12 10:43:36 GMT 2023","Wed Apr 12 10:43:44 GMT 2023","8237","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"passed","Wed Apr 12 10:42:57 GMT 2023","Wed Apr 12 10:43:18 GMT 2023","20890","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Wed Apr 12 10:42:50 GMT 2023","Wed Apr 12 10:42:53 GMT 2023","3156","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Wed Apr 12 10:43:46 GMT 2023","Wed Apr 12 10:43:54 GMT 2023","8249","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Wed Apr 12 10:42:43 GMT 2023","Wed Apr 12 10:42:48 GMT 2023","5108","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"broken","Wed Apr 12 10:44:21 GMT 2023","Wed Apr 12 10:44:29 GMT 2023","8248","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Wed Apr 12 10:42:54 GMT 2023","Wed Apr 12 10:42:55 GMT 2023","1159","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Wed Apr 12 10:44:14 GMT 2023","Wed Apr 12 10:44:20 GMT 2023","6246","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Wed Apr 12 10:44:05 GMT 2023","Wed Apr 12 10:44:12 GMT 2023","7326","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Wed Apr 12 10:43:55 GMT 2023","Wed Apr 12 10:44:04 GMT 2023","8248","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 10:44:31 GMT 2023","Wed Apr 12 10:44:39 GMT 2023","8248","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
