"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:15:11 GMT 2023","Wed Apr 12 10:15:19 GMT 2023","8357","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"broken","Wed Apr 12 10:15:01 GMT 2023","Wed Apr 12 10:15:10 GMT 2023","8344","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Wed Apr 12 10:14:46 GMT 2023","Wed Apr 12 10:14:49 GMT 2023","3289","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Wed Apr 12 10:15:57 GMT 2023","Wed Apr 12 10:16:05 GMT 2023","8331","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Wed Apr 12 10:15:40 GMT 2023","Wed Apr 12 10:15:48 GMT 2023","7396","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"broken","Wed Apr 12 10:15:21 GMT 2023","Wed Apr 12 10:15:29 GMT 2023","8342","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Wed Apr 12 10:15:31 GMT 2023","Wed Apr 12 10:15:39 GMT 2023","8343","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 10:15:49 GMT 2023","Wed Apr 12 10:15:55 GMT 2023","6335","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Wed Apr 12 10:16:07 GMT 2023","Wed Apr 12 10:16:15 GMT 2023","8342","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Wed Apr 12 10:14:53 GMT 2023","Wed Apr 12 10:15:00 GMT 2023","6430","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Wed Apr 12 10:16:16 GMT 2023","Wed Apr 12 10:16:38 GMT 2023","21264","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Wed Apr 12 10:14:39 GMT 2023","Wed Apr 12 10:14:45 GMT 2023","5283","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Wed Apr 12 10:14:51 GMT 2023","Wed Apr 12 10:14:52 GMT 2023","1220","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
