"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 17:28:56 GMT 2023","Tue Apr 11 17:29:03 GMT 2023","6332","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"broken","Tue Apr 11 17:29:12 GMT 2023","Tue Apr 11 17:29:17 GMT 2023","5388","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Tue Apr 11 17:29:04 GMT 2023","Tue Apr 11 17:29:10 GMT 2023","6336","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 11 17:29:32 GMT 2023","Tue Apr 11 17:29:39 GMT 2023","6327","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Tue Apr 11 17:28:33 GMT 2023","Tue Apr 11 17:28:40 GMT 2023","6352","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Tue Apr 11 17:28:23 GMT 2023","Tue Apr 11 17:28:26 GMT 2023","3199","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Tue Apr 11 17:29:24 GMT 2023","Tue Apr 11 17:29:31 GMT 2023","6328","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Tue Apr 11 17:28:49 GMT 2023","Tue Apr 11 17:28:55 GMT 2023","6315","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"passed","Tue Apr 11 17:28:41 GMT 2023","Tue Apr 11 17:28:47 GMT 2023","6321","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Tue Apr 11 17:28:27 GMT 2023","Tue Apr 11 17:28:29 GMT 2023","2080","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"broken","Tue Apr 11 17:29:19 GMT 2023","Tue Apr 11 17:29:23 GMT 2023","4318","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"passed","Tue Apr 11 17:28:16 GMT 2023","Tue Apr 11 17:28:21 GMT 2023","5149","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Tue Apr 11 17:28:31 GMT 2023","Tue Apr 11 17:28:32 GMT 2023","1215","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
