"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 20:17:56 GMT 2023","Thu Apr 06 20:18:13 GMT 2023","16522","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - kommentként",""
"passed","Thu Apr 06 20:18:46 GMT 2023","Thu Apr 06 20:19:00 GMT 2023","13597","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat törlése",""
"passed","Thu Apr 06 20:19:13 GMT 2023","Thu Apr 06 20:19:25 GMT 2023","11323","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Thu Apr 06 20:17:49 GMT 2023","Thu Apr 06 20:17:55 GMT 2023","6267","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Thu Apr 06 20:19:01 GMT 2023","Thu Apr 06 20:19:12 GMT 2023","11326","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Thu Apr 06 20:17:25 GMT 2023","Thu Apr 06 20:17:34 GMT 2023","8378","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Thu Apr 06 20:17:18 GMT 2023","Thu Apr 06 20:17:20 GMT 2023","2089","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Thu Apr 06 20:18:33 GMT 2023","Thu Apr 06 20:18:45 GMT 2023","11550","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat módosítása",""
"passed","Thu Apr 06 20:17:35 GMT 2023","Thu Apr 06 20:17:36 GMT 2023","1161","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"passed","Thu Apr 06 20:18:24 GMT 2023","Thu Apr 06 20:18:32 GMT 2023","8368","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","több oldalas lista bejárása",""
"broken","Thu Apr 06 20:17:37 GMT 2023","Thu Apr 06 20:17:48 GMT 2023","10357","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Thu Apr 06 20:18:14 GMT 2023","Thu Apr 06 20:18:22 GMT 2023","8376","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - karakterbevitel nélkül",""
"passed","Thu Apr 06 20:17:21 GMT 2023","Thu Apr 06 20:17:24 GMT 2023","3159","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
