"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 21:42:25 GMT 2023","Thu Apr 06 21:42:32 GMT 2023","6267","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Thu Apr 06 21:41:44 GMT 2023","Thu Apr 06 21:41:53 GMT 2023","8434","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"broken","Thu Apr 06 21:41:57 GMT 2023","Thu Apr 06 21:42:24 GMT 2023","27494","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Thu Apr 06 21:42:51 GMT 2023","Thu Apr 06 21:42:59 GMT 2023","8395","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - karakterbevitel nélkül",""
"passed","Thu Apr 06 21:43:38 GMT 2023","Thu Apr 06 21:43:49 GMT 2023","11331","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Thu Apr 06 21:41:40 GMT 2023","Thu Apr 06 21:41:43 GMT 2023","3172","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"passed","Thu Apr 06 21:43:10 GMT 2023","Thu Apr 06 21:43:22 GMT 2023","11579","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat módosítása",""
"passed","Thu Apr 06 21:41:54 GMT 2023","Thu Apr 06 21:41:55 GMT 2023","1175","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"passed","Thu Apr 06 21:43:01 GMT 2023","Thu Apr 06 21:43:09 GMT 2023","8389","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","több oldalas lista bejárása",""
"passed","Thu Apr 06 21:43:51 GMT 2023","Thu Apr 06 21:44:02 GMT 2023","11341","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Thu Apr 06 21:43:23 GMT 2023","Thu Apr 06 21:43:37 GMT 2023","13595","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat törlése",""
"passed","Thu Apr 06 21:41:37 GMT 2023","Thu Apr 06 21:41:39 GMT 2023","2076","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Thu Apr 06 21:42:33 GMT 2023","Thu Apr 06 21:42:50 GMT 2023","16546","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - kommentként",""
