"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:05:01 GMT 2023","Wed Apr 12 10:05:09 GMT 2023","8259","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Wed Apr 12 10:04:54 GMT 2023","Wed Apr 12 10:04:57 GMT 2023","3163","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Wed Apr 12 10:05:29 GMT 2023","Wed Apr 12 10:05:38 GMT 2023","8268","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Wed Apr 12 10:04:48 GMT 2023","Wed Apr 12 10:04:53 GMT 2023","5134","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"broken","Wed Apr 12 10:06:14 GMT 2023","Wed Apr 12 10:06:22 GMT 2023","8257","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Wed Apr 12 10:05:20 GMT 2023","Wed Apr 12 10:05:28 GMT 2023","8260","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"passed","Wed Apr 12 10:05:39 GMT 2023","Wed Apr 12 10:05:47 GMT 2023","8268","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 10:05:48 GMT 2023","Wed Apr 12 10:05:56 GMT 2023","7348","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Wed Apr 12 10:04:58 GMT 2023","Wed Apr 12 10:05:00 GMT 2023","1167","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Wed Apr 12 10:05:10 GMT 2023","Wed Apr 12 10:05:19 GMT 2023","8260","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Wed Apr 12 10:05:57 GMT 2023","Wed Apr 12 10:06:03 GMT 2023","6254","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"passed","Wed Apr 12 10:06:23 GMT 2023","Wed Apr 12 10:06:44 GMT 2023","20927","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"broken","Wed Apr 12 10:06:04 GMT 2023","Wed Apr 12 10:06:13 GMT 2023","8262","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
