"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 10:35:03 GMT 2023","Wed Apr 12 10:35:10 GMT 2023","7307","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Wed Apr 12 10:34:54 GMT 2023","Wed Apr 12 10:35:02 GMT 2023","8237","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 10:34:35 GMT 2023","Wed Apr 12 10:34:43 GMT 2023","8262","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
"broken","Wed Apr 12 10:35:38 GMT 2023","Wed Apr 12 10:35:47 GMT 2023","9393","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"broken","Wed Apr 12 10:34:25 GMT 2023","Wed Apr 12 10:34:33 GMT 2023","8246","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Wed Apr 12 10:34:44 GMT 2023","Wed Apr 12 10:34:52 GMT 2023","8240","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"broken","Wed Apr 12 10:34:03 GMT 2023","Wed Apr 12 10:34:24 GMT 2023","20869","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"broken","Wed Apr 12 10:35:29 GMT 2023","Wed Apr 12 10:35:37 GMT 2023","8243","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Wed Apr 12 10:34:00 GMT 2023","Wed Apr 12 10:34:02 GMT 2023","1156","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Wed Apr 12 10:35:12 GMT 2023","Wed Apr 12 10:35:18 GMT 2023","6236","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Wed Apr 12 10:35:19 GMT 2023","Wed Apr 12 10:35:27 GMT 2023","8243","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"passed","Wed Apr 12 10:33:56 GMT 2023","Wed Apr 12 10:33:59 GMT 2023","3156","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"passed","Wed Apr 12 10:33:50 GMT 2023","Wed Apr 12 10:33:55 GMT 2023","5105","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
