"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 09:32:48 GMT 2023","Wed Apr 12 09:32:51 GMT 2023","3230","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"broken","Wed Apr 12 09:33:43 GMT 2023","Wed Apr 12 09:33:50 GMT 2023","7344","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"passed","Wed Apr 12 09:33:33 GMT 2023","Wed Apr 12 09:33:41 GMT 2023","8293","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 09:33:59 GMT 2023","Wed Apr 12 09:34:07 GMT 2023","8267","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Wed Apr 12 09:32:55 GMT 2023","Wed Apr 12 09:33:03 GMT 2023","8417","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"broken","Wed Apr 12 09:33:24 GMT 2023","Wed Apr 12 09:33:32 GMT 2023","8279","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"broken","Wed Apr 12 09:33:05 GMT 2023","Wed Apr 12 09:33:13 GMT 2023","8266","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Wed Apr 12 09:33:51 GMT 2023","Wed Apr 12 09:33:57 GMT 2023","6262","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"broken","Wed Apr 12 09:34:08 GMT 2023","Wed Apr 12 09:34:16 GMT 2023","8269","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Wed Apr 12 09:32:42 GMT 2023","Wed Apr 12 09:32:47 GMT 2023","5294","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Wed Apr 12 09:34:18 GMT 2023","Wed Apr 12 09:34:39 GMT 2023","20987","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Wed Apr 12 09:32:53 GMT 2023","Wed Apr 12 09:32:54 GMT 2023","1164","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Wed Apr 12 09:33:14 GMT 2023","Wed Apr 12 09:33:22 GMT 2023","8256","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
