"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 09:20:27 GMT 2023","Wed Apr 12 09:20:49 GMT 2023","21169","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"broken","Wed Apr 12 09:20:00 GMT 2023","Wed Apr 12 09:20:07 GMT 2023","6304","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat törlése",""
"passed","Wed Apr 12 09:18:56 GMT 2023","Wed Apr 12 09:18:59 GMT 2023","3247","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"passed","Wed Apr 12 09:19:42 GMT 2023","Wed Apr 12 09:19:50 GMT 2023","8324","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Több oldalas lista bejárása",""
"broken","Wed Apr 12 09:19:32 GMT 2023","Wed Apr 12 09:19:41 GMT 2023","8329","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - karakterbevitel nélkül",""
"passed","Wed Apr 12 09:18:49 GMT 2023","Wed Apr 12 09:18:54 GMT 2023","5273","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"broken","Wed Apr 12 09:20:18 GMT 2023","Wed Apr 12 09:20:26 GMT 2023","8330","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"broken","Wed Apr 12 09:20:08 GMT 2023","Wed Apr 12 09:20:16 GMT 2023","8308","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Wed Apr 12 09:19:03 GMT 2023","Wed Apr 12 09:19:11 GMT 2023","8485","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Wed Apr 12 09:19:00 GMT 2023","Wed Apr 12 09:19:01 GMT 2023","1200","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"broken","Wed Apr 12 09:19:13 GMT 2023","Wed Apr 12 09:19:21 GMT 2023","8319","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"broken","Wed Apr 12 09:19:52 GMT 2023","Wed Apr 12 09:19:59 GMT 2023","7428","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Meglévő adat módosítása",""
"broken","Wed Apr 12 09:19:23 GMT 2023","Wed Apr 12 09:19:31 GMT 2023","8315","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Új adatbevitel - kommentként",""
