"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 21:57:45 GMT 2023","Thu Apr 06 21:57:54 GMT 2023","8503","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","több oldalas lista bejárása",""
"passed","Thu Apr 06 21:56:38 GMT 2023","Thu Apr 06 21:56:47 GMT 2023","8691","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - sikeresen + sorozatos adatbevitel listából",""
"passed","Thu Apr 06 21:56:30 GMT 2023","Thu Apr 06 21:56:32 GMT 2023","2111","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Sütik elfogadása",""
"passed","Thu Apr 06 21:56:49 GMT 2023","Thu Apr 06 21:56:50 GMT 2023","1211","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - üres mezőkkel",""
"passed","Thu Apr 06 21:57:35 GMT 2023","Thu Apr 06 21:57:44 GMT 2023","8504","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - karakterbevitel nélkül",""
"passed","Thu Apr 06 21:57:09 GMT 2023","Thu Apr 06 21:57:16 GMT 2023","6350","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Kijelentkezés",""
"passed","Thu Apr 06 21:57:55 GMT 2023","Thu Apr 06 21:58:07 GMT 2023","11759","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat módosítása",""
"passed","Thu Apr 06 21:58:08 GMT 2023","Thu Apr 06 21:58:22 GMT 2023","13834","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","meglévő adat törlése",""
"passed","Thu Apr 06 21:58:23 GMT 2023","Thu Apr 06 21:58:35 GMT 2023","11426","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok lementése felületről",""
"broken","Thu Apr 06 21:56:51 GMT 2023","Thu Apr 06 21:57:08 GMT 2023","16585","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Bejelentkezés - sikeresen",""
"passed","Thu Apr 06 21:58:36 GMT 2023","Thu Apr 06 21:58:48 GMT 2023","11431","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Adatok listázása",""
"passed","Thu Apr 06 21:56:34 GMT 2023","Thu Apr 06 21:56:37 GMT 2023","3234","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","Regisztráció - üres mezőkkel",""
"passed","Thu Apr 06 21:57:17 GMT 2023","Thu Apr 06 21:57:34 GMT 2023","16709","Vizsgaremek_POM","test_main_conduit","Test_Main_Conduit","","","új adatbevitel - kommentként",""
